Geographic Area(s),Year(s),Age Group/Status,Test Type,Blood Lead Reference Value,Number of Children Tested,Number of Children with an EBLL,Percent of Children Tested with an EBLL
48001,2010,All Children <6,All Test Types,3.5,150,15,10
48001,2010,All Children <6,All Test Types,5,150,9,6
48001,2011,All Children <6,All Test Types,3.5,156,7,4.5
48001,2011,All Children <6,All Test Types,5,156,6,3.8
48001,2012,All Children <6,All Test Types,3.5,167,12,7.2
48001,2012,All Children <6,All Test Types,5,167,9,5.4
48001,2013,All Children <6,All Test Types,3.5,168,11,6.5
48001**,2013,All Children <6,All Test Types,5,168,,Suppressed
48001**,2014,All Children <6,All Test Types,3.5,144,,Suppressed
48001**,2014,All Children <6,All Test Types,5,144,,Suppressed
48001,2015,All Children <6,All Test Types,3.5,144,9,6.3
48001**,2015,All Children <6,All Test Types,5,144,,Suppressed
48001,2016,All Children <6,All Test Types,3.5,178,14,7.9
48001**,2016,All Children <6,All Test Types,5,178,,Suppressed
48001**,2017,All Children <6,All Test Types,3.5,176,,Suppressed
48001**,2017,All Children <6,All Test Types,5,176,,Suppressed
48001**,2018,All Children <6,All Test Types,3.5,132,,Suppressed
48001**,2018,All Children <6,All Test Types,5,132,,Suppressed
48001**,2019,All Children <6,All Test Types,3.5,155,,Suppressed
48001,2019,All Children <6,All Test Types,5,155,0,0
48001**,2020,All Children <6,All Test Types,3.5,94,,Suppressed
48001,2020,All Children <6,All Test Types,5,94,0,0
48001,2021,All Children <6,All Test Types,3.5,75,0,0
48001,2021,All Children <6,All Test Types,5,75,0,0
48001**,2022,All Children <6,All Test Types,3.5,101,,Suppressed
48001,2022,All Children <6,All Test Types,5,101,0,0
48001**,2023,All Children <6,All Test Types,3.5,104,,Suppressed
48001**,2023,All Children <6,All Test Types,5,104,,Suppressed
48001**,2024,All Children <6,All Test Types,3.5,93,,Suppressed
48001**,2024,All Children <6,All Test Types,5,93,,Suppressed
48002**,2010,All Children <6,All Test Types,3.5,21,,Suppressed
48002**,2010,All Children <6,All Test Types,5,21,,Suppressed
48002,2011,All Children <6,All Test Types,3.5,23,0,0
48002,2011,All Children <6,All Test Types,5,23,0,0
48002,2012,All Children <6,All Test Types,3.5,18,0,0
48002,2012,All Children <6,All Test Types,5,18,0,0
48002**,2013,All Children <6,All Test Types,3.5,23,,Suppressed
48002**,2013,All Children <6,All Test Types,5,23,,Suppressed
48002**,2014,All Children <6,All Test Types,3.5,19,,Suppressed
48002**,2014,All Children <6,All Test Types,5,19,,Suppressed
48002,2015,All Children <6,All Test Types,3.5,16,0,0
48002,2015,All Children <6,All Test Types,5,16,0,0
48002**,2016,All Children <6,All Test Types,3.5,29,,Suppressed
48002**,2016,All Children <6,All Test Types,5,29,,Suppressed
48002,2017,All Children <6,All Test Types,3.5,25,0,0
48002,2017,All Children <6,All Test Types,5,25,0,0
48002,2018,All Children <6,All Test Types,3.5,27,0,0
48002,2018,All Children <6,All Test Types,5,27,0,0
48002**,2019,All Children <6,All Test Types,3.5,28,,Suppressed
48002,2019,All Children <6,All Test Types,5,28,0,0
48002**,2020,All Children <6,All Test Types,3.5,16,,Suppressed
48002**,2020,All Children <6,All Test Types,5,16,,Suppressed
48002,2021,All Children <6,All Test Types,3.5,20,0,0
48002,2021,All Children <6,All Test Types,5,20,0,0
48002,2022,All Children <6,All Test Types,3.5,20,0,0
48002,2022,All Children <6,All Test Types,5,20,0,0
48002,2023,All Children <6,All Test Types,3.5,23,0,0
48002,2023,All Children <6,All Test Types,5,23,0,0
48002,2024,All Children <6,All Test Types,3.5,28,0,0
48002,2024,All Children <6,All Test Types,5,28,0,0
48003**,2010,All Children <6,All Test Types,3.5,36,,Suppressed
48003**,2010,All Children <6,All Test Types,5,36,,Suppressed
48003**,2011,All Children <6,All Test Types,3.5,46,,Suppressed
48003**,2011,All Children <6,All Test Types,5,46,,Suppressed
48003**,2012,All Children <6,All Test Types,3.5,42,,Suppressed
48003,2012,All Children <6,All Test Types,5,42,0,0
48003**,2013,All Children <6,All Test Types,3.5,41,,Suppressed
48003,2013,All Children <6,All Test Types,5,41,0,0
48003**,2014,All Children <6,All Test Types,3.5,42,,Suppressed
48003,2014,All Children <6,All Test Types,5,42,0,0
48003**,2015,All Children <6,All Test Types,3.5,54,,Suppressed
48003**,2015,All Children <6,All Test Types,5,54,,Suppressed
48003**,2016,All Children <6,All Test Types,3.5,63,,Suppressed
48003,2016,All Children <6,All Test Types,5,63,0,0
48003**,2017,All Children <6,All Test Types,3.5,67,,Suppressed
48003**,2017,All Children <6,All Test Types,5,67,,Suppressed
48003**,2018,All Children <6,All Test Types,3.5,72,,Suppressed
48003**,2018,All Children <6,All Test Types,5,72,,Suppressed
48003**,2019,All Children <6,All Test Types,3.5,54,,Suppressed
48003**,2019,All Children <6,All Test Types,5,54,,Suppressed
48003**,2020,All Children <6,All Test Types,3.5,80,,Suppressed
48003,2020,All Children <6,All Test Types,5,80,0,0
48003**,2021,All Children <6,All Test Types,3.5,64,,Suppressed
48003**,2021,All Children <6,All Test Types,5,64,,Suppressed
48003**,2022,All Children <6,All Test Types,3.5,62,,Suppressed
48003**,2022,All Children <6,All Test Types,5,62,,Suppressed
48003,2023,All Children <6,All Test Types,3.5,80,0,0
48003,2023,All Children <6,All Test Types,5,80,0,0
48003**,2024,All Children <6,All Test Types,3.5,105,,Suppressed
48003,2024,All Children <6,All Test Types,5,105,0,0
48004,2011,All Children <6,All Test Types,3.5,,0,0
48004,2011,All Children <6,All Test Types,5,,0,0
48004,2013,All Children <6,All Test Types,3.5,,0,0
48004,2013,All Children <6,All Test Types,5,,0,0
48004,2016,All Children <6,All Test Types,3.5,,0,0
48004,2016,All Children <6,All Test Types,5,,0,0
48004,2018,All Children <6,All Test Types,3.5,,0,0
48004,2018,All Children <6,All Test Types,5,,0,0
48005**,2010,All Children <6,All Test Types,3.5,28,,Suppressed
48005,2010,All Children <6,All Test Types,5,28,0,0
48005**,2011,All Children <6,All Test Types,3.5,31,,Suppressed
48005,2011,All Children <6,All Test Types,5,31,0,0
48005,2012,All Children <6,All Test Types,3.5,31,0,0
48005,2012,All Children <6,All Test Types,5,31,0,0
48005**,2013,All Children <6,All Test Types,3.5,43,,Suppressed
48005**,2013,All Children <6,All Test Types,5,43,,Suppressed
48005**,2014,All Children <6,All Test Types,3.5,39,,Suppressed
48005**,2014,All Children <6,All Test Types,5,39,,Suppressed
48005,2015,All Children <6,All Test Types,3.5,25,0,0
48005,2015,All Children <6,All Test Types,5,25,0,0
48005**,2016,All Children <6,All Test Types,3.5,42,,Suppressed
48005,2016,All Children <6,All Test Types,5,42,0,0
48005**,2017,All Children <6,All Test Types,3.5,34,,Suppressed
48005**,2017,All Children <6,All Test Types,5,34,,Suppressed
48005,2018,All Children <6,All Test Types,3.5,40,0,0
48005,2018,All Children <6,All Test Types,5,40,0,0
48005**,2019,All Children <6,All Test Types,3.5,41,,Suppressed
48005,2019,All Children <6,All Test Types,5,41,0,0
48005,2020,All Children <6,All Test Types,3.5,36,0,0
48005,2020,All Children <6,All Test Types,5,36,0,0
48005,2021,All Children <6,All Test Types,3.5,34,0,0
48005,2021,All Children <6,All Test Types,5,34,0,0
48005**,2022,All Children <6,All Test Types,3.5,44,,Suppressed
48005,2022,All Children <6,All Test Types,5,44,0,0
48005,2023,All Children <6,All Test Types,3.5,47,0,0
48005,2023,All Children <6,All Test Types,5,47,0,0
48005,2024,All Children <6,All Test Types,3.5,50,0,0
48005,2024,All Children <6,All Test Types,5,50,0,0
48006,2010,All Children <6,All Test Types,3.5,30,0,0
48006,2010,All Children <6,All Test Types,5,30,0,0
48006**,2011,All Children <6,All Test Types,3.5,23,,Suppressed
48006**,2011,All Children <6,All Test Types,5,23,,Suppressed
48006**,2012,All Children <6,All Test Types,3.5,38,,Suppressed
48006**,2012,All Children <6,All Test Types,5,38,,Suppressed
48006**,2013,All Children <6,All Test Types,3.5,32,,Suppressed
48006**,2013,All Children <6,All Test Types,5,32,,Suppressed
48006,2014,All Children <6,All Test Types,3.5,44,0,0
48006,2014,All Children <6,All Test Types,5,44,0,0
48006**,2015,All Children <6,All Test Types,3.5,43,,Suppressed
48006**,2015,All Children <6,All Test Types,5,43,,Suppressed
48006**,2016,All Children <6,All Test Types,3.5,36,,Suppressed
48006**,2016,All Children <6,All Test Types,5,36,,Suppressed
48006**,2017,All Children <6,All Test Types,3.5,41,,Suppressed
48006**,2017,All Children <6,All Test Types,5,41,,Suppressed
48006**,2018,All Children <6,All Test Types,3.5,31,,Suppressed
48006,2018,All Children <6,All Test Types,5,31,0,0
48006,2019,All Children <6,All Test Types,3.5,43,8,18.6
48006**,2019,All Children <6,All Test Types,5,43,,Suppressed
48006**,2020,All Children <6,All Test Types,3.5,26,,Suppressed
48006**,2020,All Children <6,All Test Types,5,26,,Suppressed
48006**,2021,All Children <6,All Test Types,3.5,23,,Suppressed
48006,2021,All Children <6,All Test Types,5,23,0,0
48006,2022,All Children <6,All Test Types,3.5,25,0,0
48006,2022,All Children <6,All Test Types,5,25,0,0
48006,2023,All Children <6,All Test Types,3.5,16,0,0
48006,2023,All Children <6,All Test Types,5,16,0,0
48006,2024,All Children <6,All Test Types,3.5,32,0,0
48006,2024,All Children <6,All Test Types,5,32,0,0
48007**,2010,All Children <6,All Test Types,3.5,,,Suppressed
48007,2010,All Children <6,All Test Types,5,,0,0
48007,2017,All Children <6,All Test Types,3.5,,0,0
48007,2017,All Children <6,All Test Types,5,,0,0
48007,2019,All Children <6,All Test Types,3.5,,0,0
48007,2019,All Children <6,All Test Types,5,,0,0
48007,2020,All Children <6,All Test Types,3.5,,0,0
48007,2020,All Children <6,All Test Types,5,,0,0
48007,2023,All Children <6,All Test Types,3.5,,0,0
48007,2023,All Children <6,All Test Types,5,,0,0
48009**,2010,All Children <6,All Test Types,3.5,237,,Suppressed
48009**,2010,All Children <6,All Test Types,5,237,,Suppressed
48009**,2011,All Children <6,All Test Types,3.5,236,,Suppressed
48009**,2011,All Children <6,All Test Types,5,236,,Suppressed
48009**,2012,All Children <6,All Test Types,3.5,238,,Suppressed
48009**,2012,All Children <6,All Test Types,5,238,,Suppressed
48009**,2013,All Children <6,All Test Types,3.5,218,,Suppressed
48009,2013,All Children <6,All Test Types,5,218,0,0
48009,2014,All Children <6,All Test Types,3.5,251,6,2.4
48009,2014,All Children <6,All Test Types,5,251,0,0
48009**,2015,All Children <6,All Test Types,3.5,310,,Suppressed
48009**,2015,All Children <6,All Test Types,5,310,,Suppressed
48009**,2016,All Children <6,All Test Types,3.5,351,,Suppressed
48009,2016,All Children <6,All Test Types,5,351,0,0
48009,2017,All Children <6,All Test Types,3.5,337,6,1.8
48009**,2017,All Children <6,All Test Types,5,337,,Suppressed
48009**,2018,All Children <6,All Test Types,3.5,371,,Suppressed
48009,2018,All Children <6,All Test Types,5,371,0,0
48009**,2019,All Children <6,All Test Types,3.5,345,,Suppressed
48009**,2019,All Children <6,All Test Types,5,345,,Suppressed
48009**,2020,All Children <6,All Test Types,3.5,320,,Suppressed
48009**,2020,All Children <6,All Test Types,5,320,,Suppressed
48009,2021,All Children <6,All Test Types,3.5,284,0,0
48009,2021,All Children <6,All Test Types,5,284,0,0
48009,2022,All Children <6,All Test Types,3.5,357,0,0
48009,2022,All Children <6,All Test Types,5,357,0,0
48009**,2023,All Children <6,All Test Types,3.5,330,,Suppressed
48009,2023,All Children <6,All Test Types,5,330,0,0
48009**,2024,All Children <6,All Test Types,3.5,347,,Suppressed
48009,2024,All Children <6,All Test Types,5,347,0,0
48011,2011,All Children <6,All Test Types,3.5,,0,0
48011,2011,All Children <6,All Test Types,5,,0,0
48012,2010,All Children <6,All Test Types,3.5,,0,0
48012,2010,All Children <6,All Test Types,5,,0,0
48012,2012,All Children <6,All Test Types,3.5,,0,0
48012,2012,All Children <6,All Test Types,5,,0,0
48012,2017,All Children <6,All Test Types,3.5,,0,0
48012,2017,All Children <6,All Test Types,5,,0,0
48012,2019,All Children <6,All Test Types,3.5,,0,0
48012,2019,All Children <6,All Test Types,5,,0,0
48012,2021,All Children <6,All Test Types,3.5,,0,0
48012,2021,All Children <6,All Test Types,5,,0,0
48012,2022,All Children <6,All Test Types,3.5,,0,0
48012,2022,All Children <6,All Test Types,5,,0,0
48012,2023,All Children <6,All Test Types,3.5,,0,0
48012,2023,All Children <6,All Test Types,5,,0,0
48012**,2024,All Children <6,All Test Types,3.5,,,Suppressed
48012**,2024,All Children <6,All Test Types,5,,,Suppressed
48014**,2010,All Children <6,All Test Types,3.5,34,,Suppressed
48014,2010,All Children <6,All Test Types,5,34,0,0
48014**,2011,All Children <6,All Test Types,3.5,46,,Suppressed
