"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"860Z200US48001","ZCTA5 48001","5841","209","9","14","165","92","464","134","796","162","659","159","1179","248","681","158","783","145","335","113","770","174",
"860Z200US48002","ZCTA5 48002","1320","92","24","40","101","111","183","56","298","73","84","42","249","76","39","22","131","54","25","17","186","72",
"860Z200US48003","ZCTA5 48003","2328","217","50","41","192","81","334","92","483","93","304","81","180","61","185","64","186","73","17","20","397","112",
"860Z200US48005","ZCTA5 48005","1848","190","25","33","54","37","218","80","256","96","237","89","369","92","75","36","144","66","68","41","402","104",
"860Z200US48006","ZCTA5 48006","1549","110","3","5","29","28","336","57","338","118","137","51","172","60","71","27","117","46","61","33","285","73",
"860Z200US48009","ZCTA5 48009","10435","431","19","21","713","140","1149","247","516","144","626","215","887","268","1146","241","2405","283","1456","317","1518","218",
"860Z200US48014","ZCTA5 48014","1694","132","72","87","13","10","264","69","203","60","351","148","146","58","86","37","163","62","63","34","333","99",
"860Z200US48015","ZCTA5 48015","3772","270","0","15","0","15","17","20","107","109","303","182","671","165","681","218","969","225","634","192","390","137",
"860Z200US48017","ZCTA5 48017","5993","248","0","17","36","32","92","49","350","134","315","152","724","179","990","250","2459","247","421","104","606","146",
"860Z200US48021","ZCTA5 48021","14050","501","0","23","57","48","80","62","358","137","190","87","1023","237","1513","288","6808","493","2308","406","1713","330",
"860Z200US48022","ZCTA5 48022","1117","103","0","11","42","31","129","53","362","89","134","112","78","43","86","33","71","38","27","23","188","95",
"860Z200US48023","ZCTA5 48023","2282","183","40","50","119","84","293","105","462","163","313","83","111","73","242","106","152","67","157","79","393","101",
"860Z200US48025","ZCTA5 48025","5964","294","0","17","114","60","196","61","334","83","442","120","411","92","1516","230","2125","241","516","165","310","97",
"860Z200US48026","ZCTA5 48026","6912","316","14","22","34","26","203","84","1007","182","646","238","1651","245","1301","260","1623","221","291","136","142","60",
"860Z200US48027","ZCTA5 48027","1295","96","0","11","16","17","235","93","368","89","127","71","168","63","116","60","56","30","33","22","176","66",
"860Z200US48028","ZCTA5 48028","1579","138","0","11","26","22","141","81","176","79","152","73","197","93","150","79","164","74","151","68","422","123",
"860Z200US48030","ZCTA5 48030","7256","361","0","17","69","55","495","163","179","78","273","116","672","230","1055","256","2076","376","936","231","1501","291",
"860Z200US48032","ZCTA5 48032","786","98","3","5","15","14","131","38","261","80","111","34","87","24","17","13","27","17","9","8","125","38",
"860Z200US48033","ZCTA5 48033","8848","499","0","17","107","104","58","37","595","212","1133","297","3142","481","1147","279","1497","238","622","191","547","159",
"860Z200US48034","ZCTA5 48034","8472","430","0","17","46","54","359","157","669","218","1473","313","3413","389","1264","318","793","268","166","92","289","270",
"860Z200US48035","ZCTA5 48035","15592","629","28","33","106","83","918","213","1933","459","1444","317","3615","431","3921","438","2577","424","597","182","453","189",
"860Z200US48036","ZCTA5 48036","9719","466","17","25","339","131","1042","315","1237","246","1493","306","1703","263","1945","254","1501","196","158","84","284","118",
"860Z200US48038","ZCTA5 48038","21337","869","0","23","1736","318","2621","501","4746","554","5946","519","4953","521","569","182","289","155","249","169","228","114",
"860Z200US48039","ZCTA5 48039","3691","237","12","18","27","23","259","99","459","144","316","113","469","134","217","95","436","122","284","98","1212","232",
"860Z200US48040","ZCTA5 48040","4632","234","8","12","91","68","462","183","651","143","817","183","1120","196","473","125","462","104","344","163","204","87",
"860Z200US48041","ZCTA5 48041","1902","165","0","11","9","13","365","135","343","141","280","75","290","77","92","36","194","63","16","14","313","84",
"860Z200US48042","ZCTA5 48042","11650","569","64","40","1993","319","4096","415","3766","479","296","99","362","157","307","216","579","205","73","69","114","67",
"860Z200US48043","ZCTA5 48043","6888","302","0","17","74","59","97","56","370","150","492","156","871","203","764","179","1571","258","565","159","2084","298",
"860Z200US48044","ZCTA5 48044","20156","552","108","87","1825","328","7075","653","5681","606","2766","339","1812","275","233","148","407","235","101","88","148","107",
"860Z200US48045","ZCTA5 48045","12695","531","31","33","656","151","1052","261","2186","357","2107","288","2798","463","1782","297","1160","246","507","168","416","210",
"860Z200US48047","ZCTA5 48047","16585","567","126","65","804","180","3841","423","3878","455","2072","314","2983","446","1004","248","966","213","321","114","590","166",
"860Z200US48048","ZCTA5 48048","3424","277","98","109","462","166","942","279","805","203","230","141","152","83","242","137","111","73","56","56","326","134",
"860Z200US48049","ZCTA5 48049","2283","141","0","15","50","51","166","75","377","119","375","210","761","144","212","68","183","68","62","42","97","46",
"860Z200US48050","ZCTA5 48050","561","102","0","11","0","11","79","37","124","59","136","66","56","41","42","33","35","28","19","22","70","43",
"860Z200US48051","ZCTA5 48051","7023","351","151","101","743","186","1590","277","2254","242","1096","226","388","141","247","139","451","167","16","21","87","46",
"860Z200US48054","ZCTA5 48054","3221","157","0","15","126","44","485","105","596","174","424","120","552","128","291","93","267","104","162","103","318","100",
"860Z200US48059","ZCTA5 48059","6994","270","53","83","259","98","1013","187","1180","179","692","177","851","191","878","206","1008","242","348","128","712","188",
"860Z200US48060","ZCTA5 48060","18191","418","15","20","170","87","1719","329","1922","318","1392","256","2124","325","1892","281","2968","363","1565","270","4424","374",
"860Z200US48062","ZCTA5 48062","3578","270","16","27","48","36","570","166","849","293","316","114","449","157","207","98","313","132","90","71","720","218",
"860Z200US48063","ZCTA5 48063","1563","99","0","11","187","85","308","90","316","82","122","64","289","114","31","24","45","33","79","54","186","89",
"860Z200US48064","ZCTA5 48064","1466","101","3","7","43","27","76","38","395","82","114","47","265","88","205","93","130","55","48","33","187","62",
"860Z200US48065","ZCTA5 48065","4702","285","102","70","302","96","545","130","906","191","609","155","602","157","297","90","357","120","340","310","642","147",
"860Z200US48066","ZCTA5 48066","21933","501","0","23","45","34","584","172","931","208","1641","269","3465","374","4734","478","7451","608","1624","300","1458","273",
