"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Under 3 years","Margin of Error!!Total:!!In households:!!Under 3 years","Estimate!!Total:!!In households:!!3 and 4 years","Margin of Error!!Total:!!In households:!!3 and 4 years","Estimate!!Total:!!In households:!!5 years","Margin of Error!!Total:!!In households:!!5 years","Estimate!!Total:!!In households:!!6 to 8 years","Margin of Error!!Total:!!In households:!!6 to 8 years","Estimate!!Total:!!In households:!!9 to 11 years","Margin of Error!!Total:!!In households:!!9 to 11 years","Estimate!!Total:!!In households:!!12 to 14 years","Margin of Error!!Total:!!In households:!!12 to 14 years","Estimate!!Total:!!In households:!!15 to 17 years","Margin of Error!!Total:!!In households:!!15 to 17 years","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"860Z200US48001","ZCTA5 48001","1854","249","1854","249","280","91","400","186","171","84","288","87","144","73","343","153","228","95","0","17",
"860Z200US48002","ZCTA5 48002","559","129","559","129","75","41","36","30","28","23","34","22","113","65","48","36","225","102","0","11",
"860Z200US48003","ZCTA5 48003","1288","199","1288","199","94","45","71","40","75","42","232","65","268","107","281","93","267","81","0","15",
"860Z200US48005","ZCTA5 48005","1181","189","1181","189","115","82","61","33","25","33","115","58","386","305","225","88","254","92","0","15",
"860Z200US48006","ZCTA5 48006","930","191","930","191","144","46","61","36","38","23","122","44","165","96","255","111","145","45","0","11",
"860Z200US48009","ZCTA5 48009","5664","583","5664","583","680","159","818","185","221","96","822","186","1033","234","982","308","1108","293","0","20",
"860Z200US48014","ZCTA5 48014","995","193","995","193","261","185","37","26","24","17","115","46","157","58","193","83","208","71","0","11",
"860Z200US48015","ZCTA5 48015","1911","415","1911","415","97","69","228","158","59","55","470","183","322","162","408","204","327","145","0","15",
"860Z200US48017","ZCTA5 48017","1817","239","1816","239","237","97","126","60","93","60","396","167","320","128","324","133","320","100","1","3",
"860Z200US48021","ZCTA5 48021","7836","691","7836","691","1197","382","814","231","485","218","1167","297","1355","328","1159","345","1659","372","0","23",
"860Z200US48022","ZCTA5 48022","372","53","372","53","41","29","33","28","27","27","42","28","43","28","99","43","87","42","0","11",
"860Z200US48023","ZCTA5 48023","993","184","993","184","110","96","144","57","39","31","185","116","234","117","84","49","197","73","0","11",
"860Z200US48025","ZCTA5 48025","3389","235","3389","235","426","107","448","126","170","62","631","139","554","153","631","189","529","121","0","17",
"860Z200US48026","ZCTA5 48026","2809","280","2809","280","644","266","242","88","54","39","330","154","403","138","662","185","474","134","0","17",
"860Z200US48027","ZCTA5 48027","725","122","725","122","101","59","45","29","18","19","181","69","139","48","67","51","174","75","0","11",
